,City,Latitude,Longitude,Temperature,Max Temperature,Humidity,Cloudiness,Wind Speed
0,nola,14.53,40.92,78.44,80.6,42,0,8.05
1,mbaiki,17.99,3.87,71.28,71.28,97,79,1.57
2,harper,-7.72,4.38,76.66,76.66,86,88,11.79
3,mosquera,-74.23,4.71,66.2,66.2,48,40,12.75
4,salinopolis,-47.36,-0.61,82.98,82.98,74,8,11.7
5,ouango,22.56,4.31,74.8,74.8,82,46,2.15
6,kudahuvadhoo,72.89,2.67,82.8,82.8,79,58,19.28
7,amapa,-52.0,1.0,96.22,96.22,30,64,4.7
8,victoria,114.16,22.29,81.7,84.0,79,37,8.99
9,takoradi,-1.76,4.88,77.04,77.04,82,43,8.68
10,acarau,-40.12,-2.89,87.01,87.01,53,8,20.31
11,bonfim,-59.95,3.08,91.78,91.78,50,86,5.37
12,isiro,27.62,2.77,70.92,70.92,86,57,1.79
13,hobyo,48.53,5.35,76.8,76.8,79,63,27.54
14,kitgum,32.89,3.28,68.54,68.54,88,35,3.0
15,camocim,-40.84,-2.9,88.05,88.05,50,1,15.59
16,mandera,41.87,3.94,87.69,87.69,34,91,14.54
17,bubaque,-15.83,11.28,79.95,79.95,80,20,11.68
18,bonthe,-12.51,7.53,78.04,78.04,84,82,8.19
19,sao filipe,-24.5,14.9,80.94,80.94,82,83,23.22
20,tutoia,-42.27,-2.76,84.29,84.29,63,23,12.19
21,lethem,-59.8,3.38,90.18,90.18,56,82,3.4
22,yumbe,31.25,3.47,67.14,67.14,91,56,3.94
23,carutapera,-46.02,-1.2,85.23,85.23,64,3,10.0
24,mapiripan,-72.13,2.89,86.58,86.58,69,13,2.71
25,touros,-35.46,-5.2,80.6,80.6,74,75,19.46
26,san cristobal,-72.22,7.77,91.4,91.4,46,40,19.46
27,inirida,-67.92,3.87,94.3,94.3,44,39,3.76
28,wajid,43.25,3.81,83.25,83.25,44,87,19.1
29,caucaia,-38.65,-3.74,82.04,84.2,66,20,20.8
30,banda aceh,95.32,5.56,80.02,80.02,78,34,7.61
31,kribi,9.92,2.95,76.87,76.87,89,99,11.54
32,bondo,23.69,3.81,72.25,72.25,91,81,1.54
33,matara,80.54,5.95,78.98,78.98,88,33,7.72
34,grand-santi,-54.38,4.25,90.91,90.91,50,49,3.58
35,watsa,29.54,3.04,66.45,66.45,95,64,1.7
36,dagua,-76.69,3.66,83.57,84.2,54,75,6.93
37,businga,20.88,3.33,77.7,77.7,79,93,2.17
38,san-pedro,-6.64,4.75,76.26,76.26,86,79,9.69
39,mongoumba,18.59,3.64,71.96,71.96,94,83,2.13
40,hambantota,81.12,6.12,81.34,81.34,79,76,15.66
41,lolodorf,10.73,3.23,71.04,71.04,96,100,2.86
42,galle,80.22,6.04,79.93,79.93,86,35,7.81
